"Subject";"Country";"entry";"nowcast_year";"nowcast_month";"nowcast";"Model"
"EXTRA_IMPORT";"AT";1;2025;1;3996.63655306437;"TRAMO_MV1"
"EXTRA_IMPORT";"BE";1;2025;1;15091.2039359207;"TRAMO_MV1"
"EXTRA_IMPORT";"BG";1;2025;1;1872.81019201728;"TRAMO_MV1"
"EXTRA_IMPORT";"HR";1;2025;1;789.595929697004;"TRAMO_MV1"
"EXTRA_IMPORT";"CY";1;2025;1;419.795882068232;"TRAMO_MV1"
"EXTRA_IMPORT";"CZ";1;2025;1;5333.11194192168;"TRAMO_MV1"
"EXTRA_IMPORT";"DK";1;2025;1;3481.5567416035;"TRAMO_MV1"
"EXTRA_IMPORT";"EE";1;2025;1;309.009281161916;"TRAMO_MV1"
"EXTRA_IMPORT";"FI";1;2025;1;1709.90304802497;"TRAMO_MV1"
"EXTRA_IMPORT";"FR";1;2025;1;21728.3494679368;"TRAMO_MV1"
"EXTRA_IMPORT";"DE";1;2025;1;38798.0164765469;"TRAMO_MV1"
"EXTRA_IMPORT";"EL";1;2025;1;3507.47132818465;"TRAMO_MV1"
"EXTRA_IMPORT";"HU";1;2025;1;3503.65672271029;"TRAMO_MV1"
"EXTRA_IMPORT";"IE";1;2025;1;7005.19731508022;"TRAMO_MV1"
"EXTRA_IMPORT";"IT";1;2025;1;21780.9088237743;"TRAMO_MV1"
"EXTRA_IMPORT";"LV";1;2025;1;300.826627837869;"TRAMO_MV1"
"EXTRA_IMPORT";"LT";1;2025;1;1069.50596274059;"TRAMO_MV1"
"EXTRA_IMPORT";"LU";1;2025;1;148.222784261957;"TRAMO_MV1"
"EXTRA_IMPORT";"MT";1;2025;1;254.396182431241;"TRAMO_MV1"
"EXTRA_IMPORT";"NL";1;2025;1;36754.8557179276;"TRAMO_MV1"
"EXTRA_IMPORT";"PL";1;2025;1;9235.00113371768;"TRAMO_MV1"
"EXTRA_IMPORT";"PT";1;2025;1;2106.53160970145;"TRAMO_MV1"
"EXTRA_IMPORT";"RO";1;2025;1;2911.42448972495;"TRAMO_MV1"
"EXTRA_IMPORT";"SK";1;2025;1;1815.81702354222;"TRAMO_MV1"
"EXTRA_IMPORT";"SI";1;2025;1;3856.12408338372;"TRAMO_MV1"
"EXTRA_IMPORT";"ES";1;2025;1;16077.9556958609;"TRAMO_MV1"
"EXTRA_IMPORT";"SE";1;2025;1;4618.05908500497;"TRAMO_MV1"
"EXTRA_IMPORT";"AT";2;2025;1;3908.10648322506;"TRAMO_UV"
"EXTRA_IMPORT";"BE";2;2025;1;15350.5177467032;"TRAMO_UV"
"EXTRA_IMPORT";"BG";2;2025;1;1849.5489857656;"TRAMO_UV"
"EXTRA_IMPORT";"HR";2;2025;1;643.479668495954;"TRAMO_UV"
"EXTRA_IMPORT";"CY";2;2025;1;434.558294422328;"TRAMO_UV"
"EXTRA_IMPORT";"CZ";2;2025;1;5321.99654550031;"TRAMO_UV"
"EXTRA_IMPORT";"DK";2;2025;1;3439.58086242735;"TRAMO_UV"
"EXTRA_IMPORT";"EE";2;2025;1;307.051410854897;"TRAMO_UV"
"EXTRA_IMPORT";"FI";2;2025;1;1763.87575792488;"TRAMO_UV"
"EXTRA_IMPORT";"FR";2;2025;1;21248.3860328513;"TRAMO_UV"
"EXTRA_IMPORT";"DE";2;2025;1;39010.4844409306;"TRAMO_UV"
"EXTRA_IMPORT";"EL";2;2025;1;3345.86955698695;"TRAMO_UV"
"EXTRA_IMPORT";"HU";2;2025;1;3386.24911161534;"TRAMO_UV"
"EXTRA_IMPORT";"IE";2;2025;1;6374.13285752499;"TRAMO_UV"
"EXTRA_IMPORT";"IT";2;2025;1;21645.8455023507;"TRAMO_UV"
"EXTRA_IMPORT";"LV";2;2025;1;300.160107340921;"TRAMO_UV"
"EXTRA_IMPORT";"LT";2;2025;1;1057.94416480167;"TRAMO_UV"
"EXTRA_IMPORT";"LU";2;2025;1;148.167654027122;"TRAMO_UV"
"EXTRA_IMPORT";"MT";2;2025;1;244.852570861268;"TRAMO_UV"
"EXTRA_IMPORT";"NL";2;2025;1;36391.4458751371;"TRAMO_UV"
